scenario,workload,technology,per_node_rps,aggregate_rps,repetition_count,metric_name,mean,median,stddev,min,max,ci95_low,ci95_high
pgbouncer-prod,W5_HTAP,PgBouncer,4.0,16.0,5,postgres_backend_connections,14.4,14.0,0.8944271909999159,14.0,16.0,13.2896,15.5104
pgbouncer-prod,W5_HTAP,PgBouncer,4.0,16.0,5,postgres_cpu_pct_avg,136.50219857534927,136.91395243488108,3.7578602319746475,131.06571743929362,141.48674603174604,131.8369468437692,141.16745030692934
pgbouncer-prod,W5_HTAP,PgBouncer,4.0,16.0,5,postgres_rss_mib,12072.096249884187,12071.561472253681,31.33273706142513,12037.114681564246,12106.053922902494,12033.197755313477,12110.994744454898
pgbouncer-prod,W5_HTAP,PgBouncer,4.0,16.0,5,proxy_tier_cpu_pct,0.914070997641281,0.9137926902336728,0.011462773828111778,0.8965253731343285,0.9276996996996997,0.8998403658058312,0.9283016294767308
pgbouncer-prod,W5_HTAP,PgBouncer,4.0,16.0,5,proxy_tier_rss_mib,54.69772803727568,54.73388755980861,0.10060561397930999,54.53245045045045,54.79850029994002,54.57282969464173,54.82262637990963
pgbouncer-prod,W5_HTAP,PgBouncer,4.0,16.0,5,rps_per_db_connection,0.9710475359998256,0.9946253735189451,0.05469003522467243,0.8732500914369158,0.9980261039804877,0.9031517746404396,1.0389432973592116
pgbouncer-prod,W5_HTAP,PgBouncer,4.0,16.0,5,successful_rps,13.943965540572325,13.927434267689556,0.025802806501174568,13.923271287189351,13.972365455726829,13.911932260918926,13.975998820225724
pgbouncer-prod,W5_HTAP,PgBouncer,8.0,32.0,5,attempted_rps,27.321372127928868,27.31674398145347,0.009470380202235564,27.311945916171723,27.335459309496464,27.30961498292883,27.333129272928904
pgbouncer-prod,W5_HTAP,PgBouncer,8.0,32.0,5,error_rate_pct,44.2866152969777,43.6277475297439,2.466012159331514,41.680937510493266,47.78419391660512,41.22514765682188,47.34808293713352
pgbouncer-prod,W5_HTAP,PgBouncer,8.0,32.0,5,error_rps,12.507483828857067,12.308763731335677,0.6970398757601391,11.776247113208706,13.498808315283036,11.64213326054666,13.372834397167475
pgbouncer-prod,W5_HTAP,PgBouncer,8.0,32.0,5,offered_rps,32.0,32.0,0.0,32.0,32.0,32.0,32.0
pgbouncer-prod,W5_HTAP,PgBouncer,8.0,32.0,5,p95_latency_ms,38581.042199999996,38649.854999999996,499.69857031134416,37912.575,39206.911,37960.68394383673,39201.40045616326
pgbouncer-prod,W5_HTAP,PgBouncer,8.0,32.0,5,p99_latency_ms,45062.55260000001,45121.535,600.4909225332194,44433.40700000001,45891.583,44317.064172221486,45808.041027778534
pgbouncer-prod,W5_HTAP,PgBouncer,8.0,32.0,5,postgres_backend_connections,17.8,18.0,0.8366600265340756,17.0,19.0,16.761315909431556,18.838684090568446
pgbouncer-prod,W5_HTAP,PgBouncer,8.0,32.0,5,postgres_cpu_pct_avg,189.75119856238967,189.8165789473684,0.4196406157489265,189.237103960396,190.29103321033207,189.23022945007247,190.27216767470688
pgbouncer-prod,W5_HTAP,PgBouncer,8.0,32.0,5,postgres_rss_mib,13155.229713514535,13133.177190594057,94.85552174047659,13081.83215809285,13320.43434194342,13037.469908803236,13272.989518225833
pgbouncer-prod,W5_HTAP,PgBouncer,8.0,32.0,5,proxy_tier_cpu_pct,0.9658282527482317,0.9761698337292161,0.03464128034877903,0.9125251926496739,1.0004154302670623,0.9228223176801331,1.0088341878163303
pgbouncer-prod,W5_HTAP,PgBouncer,8.0,32.0,5,proxy_tier_rss_mib,54.64284526821958,54.65541839762611,0.08938849425358557,54.51834617664492,54.76493761140819,54.53187258646533,54.75381794997383
pgbouncer-prod,W5_HTAP,PgBouncer,8.0,32.0,5,rps_per_db_connection,0.8861205962291135,0.9017878072730208,0.0665727620556029,0.7762756037750582,0.9535972541249118,0.8034728461043654,0.9687683463538617
pgbouncer-prod,W5_HTAP,PgBouncer,8.0,32.0,5,successful_rps,15.734348840599472,15.903954889046991,0.6966484926905425,14.749236471726107,16.477006798459403,14.869484160648511,16.599213520550432
